seals,noise,month,tide,date,time,location,j.date,site
6,49.3,7,1.03,7/23/2020,16,2,2459054.19,waterfront
4,50.8,7,0.69,7/24/2020,16,2,2459055.181,waterfront
7,48.3,7,0.4,7/25/2020,14,2,2459056.083,waterfront
14,48.8,7,1.2,7/27/2020,8,2,2459057.851,waterfront
15,48.2,7,1.73,7/28/2020,15,2,2459059.144,waterfront
19,46.5,7,2.32,7/30/2020,16,2,2459061.194,waterfront
16,55.1,7,-0.19,7/31/2020,10,2,2459061.924,waterfront
2,45.6,8,0.94,8/1/2020,14,2,2459063.087,waterfront
14,56.1,8,0.41,8/3/2020,8,2,2459064.851,waterfront
12,45.6,8,0.89,8/4/2020,15,2,2459066.137,waterfront
13,55,8,-0.14,8/5/2020,12,2,2459067.037,waterfront
6,49.1,8,1.24,8/6/2020,16,2,2459068.198,waterfront
6,45.3,8,0.58,8/7/2020,15,2,2459069.148,waterfront
5,58.1,8,1.01,8/8/2020,12,2,2459070,waterfront
8,46.2,8,1.53,8/10/2020,8,2,2459071.854,waterfront
13,48.9,8,1.75,8/11/2020,12,2,2459073,waterfront
5,44.5,8,1.24,8/12/2020,10,2,2459073.917,waterfront
11,51.4,8,2.26,8/14/2020,16,2,2459076.199,waterfront
3,49,8,0.6,8/15/2020,12,2,2459077.015,waterfront
12,52.1,8,-0.27,8/17/2020,9,2,2459078.882,waterfront
9,53.7,8,-0.41,8/18/2020,10,2,2459079.955,waterfront
5,46.2,8,-0.1,8/19/2020,10,2,2459080.919,waterfront
9,51.9,8,1.7,8/20/2020,16,2,2459082.197,waterfront
11,55.5,8,2.01,8/21/2020,18,2,2459083.26,waterfront
1,40.7,8,0.85,8/22/2020,11,2,2459083.998,waterfront
3,52.5,8,1.68,8/24/2020,8,2,2459085.858,waterfront
7,52.3,8,1.88,8/25/2020,11,2,2459086.969,waterfront
9,44.5,8,1.47,8/26/2020,10,2,2459087.934,waterfront
17,43.6,8,2.25,8/27/2020,16,2,2459089.197,waterfront
11,56.1,8,0.67,8/28/2020,10,2,2459089.949,waterfront
2,38.6,8,0.27,8/29/2020,11,2,2459090.97,waterfront
11,46.9,9,0.08,9/1/2020,12,2,2459094.002,waterfront
25,56.5,9,0.09,9/2/2020,11,2,2459094.967,waterfront
15,46.8,9,1.27,9/5/2020,10,2,2459097.953,waterfront
18,49.7,9,1.78,9/8/2020,12,2,2459101.018,waterfront
12,48.2,9,1.96,9/9/2020,11,2,2459101.96,waterfront
3,47.6,9,1.96,9/10/2020,16,2,2459103.198,waterfront
4,54.2,9,2.02,9/11/2020,17,2,2459104.235,waterfront
3,51.7,9,0.15,9/14/2020,10,2,2459106.938,waterfront
0,48.7,9,2.15,9/17/2020,16,2,2459110.186,waterfront
2,55,9,2.19,9/18/2020,17,2,2459111.208,waterfront
5,53.3,9,1.18,9/19/2020,10,2,2459111.951,waterfront
5,56.2,9,2.29,9/24/2020,14,2,2459113.861,waterfront
1,53.3,9,1.4,9/26/2020,12,2,2459117.122,waterfront
30,51.5,9,0.4,9/28/2020,10,2,2459119,waterfront
4,49.2,9,1.82,9/29/2020,14,2,2459120.938,waterfront
5,52.9,10,1.66,10/1/2020,15,2,2459122.107,waterfront
3,45.8,10,1.91,10/5/2020,10,2,2459124.13,waterfront
1,42.1,10,1.77,10/7/2020,16,2,2459127.92,waterfront
3,49.3,10,2.21,10/9/2020,11,2,2459130.181,waterfront
1,55.3,10,2.25,10/10/2020,12,2,2459131.972,waterfront
3,61.6,10,2.4,10/11/2020,14,2,2459133.036,waterfront
5,58.3,10,2.4,10/13/2020,14,2,2459136.123,waterfront
0,46.3,10,2.43,10/14/2020,16,2,2459137.188,waterfront
6,46.8,10,2.43,10/15/2020,16,2,2459138.176,waterfront
0,60.8,10,2.23,10/16/2020,15,2,2459139.145,waterfront
2,47,10,1.05,10/17/2020,12,2,2459140.003,waterfront
2,43.9,10,1.39,10/18/2020,11,2,2459140.996,waterfront
0,57,10,2.25,10/19/2020,9,2,2459140.996,waterfront
0,53.4,10,2.42,10/23/2020,11,2,2459141.906,waterfront
5,55.4,10,2.31,10/24/2020,11,2,2459145.976,waterfront
1,55.4,10,1.06,10/26/2020,10,2,2459146.994,waterfront
2,77.5,10,2.36,10/27/2020,14,2,2459148.927,waterfront
0,46.5,10,2.34,10/28/2020,16,2,2459150.115,waterfront
4,48.2,10,2.06,10/29/2020,14,2,2459151.188,waterfront
