"","noise","site","fit","se.fit","residual.scale","UL","LL","seals"
"50",51.1267676767677,"marina",2.67534557880357,0.338974020481393,1,28.2116400059249,7.47045941550615,14.5173658667519
"51",51.5232323232323,"marina",2.64452521354062,0.348228751915972,1,27.8561444134021,7.11351758940414,14.0767600412068
"52",51.919696969697,"marina",2.61370484827768,0.357544589648545,1,27.5084228708395,6.77281938230491,13.6495267169328
"53",52.3161616161616,"marina",2.58288448301473,0.366916879332762,1,27.1680477173197,6.44772528441596,13.2352600350421
"54",52.7126262626263,"marina",2.55206411775179,0.376341403406527,1,26.8346313647643,6.13760724733187,12.8335664545697
"55",53.1090909090909,"marina",2.52124375248884,0.385814334004131,1,26.5078216789235,5.84185076144514,12.4440643786213
"56",53.5055555555556,"marina",2.4904233872259,0.395332191396632,1,26.1872979558615,5.55985646392539,12.0663837918672
"57",53.9020202020202,"marina",2.45960302196295,0.404891807292059,1,25.8727674116559,5.29104135328703,11.7001659090394
"58",54.2984848484848,"marina",2.42878265670001,0.414490292403034,1,25.5639621147404,5.03483967515995,11.3450628340958
"59",54.6949494949495,"marina",2.39796229143706,0.424125007759305,1,25.2606363004159,4.79070353408168,11.0007372297294
"60",55.0914141414141,"marina",2.36714192617412,0.433793539306042,1,24.962564015715,4.55810327775059,10.6668619969084
"61",55.4878787878788,"marina",2.33632156091117,0.4434936753854,1,24.6695370502148,4.33652769303559,10.3431199641416
"62",55.8843434343434,"marina",2.30550119564823,0.453223386749177,1,24.3813631147259,4.12548404695989,10.0292035861746
"63",56.2808080808081,"marina",2.27468083038528,0.462980808794806,1,24.0978642351908,3.92449800071395,9.72481465183179
"64",56.6772727272727,"marina",2.24386046512234,0.472764225755869,1,23.8188753337302,3.73311342037341,9.42966400072395
"65",57.0737373737374,"marina",2.21304009985939,0.482572056612435,1,23.5442429727107,3.5508921042843,9.14347124855487
"66",57.470202020202,"marina",2.18221973459645,0.492402842516286,1,23.2738242410592,3.37741344393169,8.86596452076459
"67",57.8666666666667,"marina",2.1513993693335,0.502255235552043,1,23.0074857649105,3.21227403244205,8.59688019425664
"68",58.2631313131313,"marina",2.12057900407056,0.512127988677745,1,22.7451028271242,3.05508723261137,8.33596264696405
"69",58.659595959596,"marina",2.08975863880761,0.522019946708114,1,22.4865585822922,2.9054827144378,8.08296401501596
"70",59.0560606060606,"marina",2.05893827354467,0.531930038220748,1,22.2317433556542,2.76310597051657,7.83764395727442
"71",59.4525252525252,"marina",2.02811790828172,0.541857268280372,1,21.9805540158663,2.62761781628151,7.59976942701741
"72",59.8489898989899,"marina",1.99729754301878,0.551800711889141,1,21.7328934128911,2.49869388091306,7.36911445055148
"73",60.2454545454545,"marina",1.96647717775583,0.561759508082251,1,21.4886698734029,2.37602409374634,7.14545991254352
"74",60.6419191919192,"marina",1.93565681249289,0.57173285459786,1,21.2477967470804,2.25931217017653,6.92859334786766
"75",61.0383838383838,"marina",1.90483644722994,0.581720003058842,1,21.0101919979965,2.14827510034994,6.71830873976981
"76",61.4348484848485,"marina",1.87401608196699,0.591720254611329,1,20.7757778360392,2.04264264332925,6.5144063241579
"77",61.8313131313131,"marina",1.84319571670405,0.601732955971473,1,20.544480383926,1.9421568289122,6.31669239983194
"78",62.2277777777778,"marina",1.8123753514411,0.61175749583752,1,20.3162293759164,1.84657146885286,6.12497914447368
"79",62.6242424242424,"marina",1.78155498617816,0.621793301629227,1,20.0909578847961,1.7556516788707,5.93908443622103
"80",63.0207070707071,"marina",1.75073462091521,0.631839836521022,1,19.8686020741194,1.66917341252438,5.75883168065772
"81",63.4171717171717,"marina",1.71991425565227,0.641896596739073,1,19.6491009730474,1.58692300776824,5.5840496430539
"82",63.8136363636364,"marina",1.68909389038932,0.651963109095792,1,19.4323962714348,1.5086967467902,5.41457228569825
"83",64.210101010101,"marina",1.65827352512638,0.662038928738223,1,19.2184321330849,1.43430042954628,5.25023861016714
"84",64.6065656565656,"marina",1.62745315986343,0.672123637089346,1,19.0071550253327,1.36354896125271,5.0908925043809
"85",65.0030303030303,"marina",1.59663279460049,0.682216839963603,1,18.7985135633193,1.29626595396756,4.93638259430205
"86",65.399494949495,"marina",1.56581242933754,0.69231816583995,1,18.5924583675073,1.23228334228698,4.78656210013445
"87",65.7959595959596,"marina",1.5349920640746,0.702427264277531,1,18.3889419331435,1.17144101309194,4.64128869688694
"88",66.1924242424242,"marina",1.50417169881165,0.712543804460606,1,18.187918510516,1.11358644920838,4.5004243791688
"89",66.5888888888889,"marina",1.47335133354871,0.722667473860785,1,17.9893439949787,1.058574386784,4.36383533008877
"90",66.9853535353535,"marina",1.44253096828576,0.732797977005817,1,17.7931758258227,1.0062664861363,4.23139179413299
"91",67.3818181818182,"marina",1.41171060302282,0.742935034345306,1,17.5993728931735,0.956531015788059,4.10296795390119
"92",67.7782828282828,"marina",1.38089023775987,0.75307838120468,1,17.4078954521747,0.909242549375744,3.97844181058385
"93",68.1747474747475,"marina",1.35006987249693,0.763227766819588,1,17.2187050437988,0.864281675093116,3.85769506806703
"94",68.5712121212121,"marina",1.31924950723398,0.773382953443717,1,17.0317644216901,0.821534717314627,3.74061302055458
"95",68.9676767676768,"marina",1.28842914197104,0.78354371552364,1,16.8470374845039,0.780893470030779,3.62708444360107
"96",69.3641414141414,"marina",1.25760877670809,0.793709838934992,1,16.6644892132622,0.742254941719345,3.51700148845185
"97",69.7606060606061,"marina",1.22678841144515,0.80388112027475,1,16.4840856132899,0.70552111127167,3.41025957959004
"98",70.1570707070707,"marina",1.1959680461822,0.814057366204936,1,16.3057936603412,0.670598694591552,3.30675731539284
"99",70.5535353535354,"marina",1.16514768091926,0.82423839284348,1,16.1295812505596,0.637398921485015,3.20639637180303
"100",70.95,"marina",1.13432731565631,0.834424025198367,1,15.9554171539526,0.60583732246216,3.1090814089241
"101",31.7,"waterfront",2.22884186835224,0.306283480453254,1,16.9311901174806,5.09635840609873,9.28910184466064
"102",32.0964646464646,"waterfront",2.22707188022665,0.300471098635588,1,16.7097976589178,5.14563368494935,9.27267478683552
"103",32.4929292929293,"waterfront",2.22530189210107,0.294667001042331,1,16.4915679037061,5.19530103563013,9.25627677899103
"104",32.8893939393939,"waterfront",2.22353190397548,0.288871687021366,1,16.2764684364973,5.24535748812249,9.23990776975455
"105",33.2858585858586,"waterfront",2.22176191584989,0.28308569602356,1,16.0644680563058,5.29579946021266,9.22356770784428
"106",33.6823232323232,"waterfront",2.21999192772431,0.277309611616695,1,15.8555368356488,5.34662269150507,9.20725654206911
"107",34.0787878787879,"waterfront",2.21822193959872,0.271544065978518,1,15.6496461877112,5.39782216951698,9.19097422132846
"108",34.4752525252525,"waterfront",2.21645195147314,0.265789744934929,1,15.446768942621,5.44939204676554,9.17472069461211
"109",34.8717171717172,"waterfront",2.21468196334755,0.260047393619486,1,15.2468794340919,5.50132554759069,9.15849591100008
"110",35.2681818181818,"waterfront",2.21291197522197,0.254317822842377,1,15.0499535978835,5.55361486326131,9.14229981966239
"111",35.6646464646465,"waterfront",2.21114198709638,0.248601916270913,1,14.8559690837597,5.60625103368284,9.12613236985899
"112",36.0611111111111,"waterfront",2.20937199897079,0.242900638539997,1,14.6649053828951,5.65922381375613,9.10999351093953
"113",36.4575757575758,"waterfront",2.20760201084521,0.237215044430136,1,14.4767439729919,5.71252152212318,9.09388319234326
"114",36.8540404040404,"waterfront",2.20583202271962,0.231546289273074,1,14.2914684837391,5.76613086966666,9.07780136359881
"115",37.250505050505,"waterfront",2.20406203459404,0.22589564077147,1,14.1090648856779,5.82003676469882,9.06174797432409
"116",37.6469696969697,"waterfront",2.20229204646845,0.220264492450012,1,13.9295217060426,5.87422209126869,9.0457229742261
